HOSP_ID,HOSPITAL_NAME,FIRM_TYPE,HOSPITAL_TYPE,ADDRESS,ADDRESS1,CITY,STATE,ZIP_CODE,PHONE,COUNTY,WEBSITE,HOSPITAL_OWNERSHIP,STATUS,NUMBER_BEDS,EST_READMISSION_PENALTY_FY2015,READMISSION_RATE_PENALTY_FY_2014,EST_READMISSION_PENALTY_FY2014,READMISSION_RATE_PENALTY_FY_2013,DATE_FISCAL_YEAR_END,TOT_PATIENT_REVENUE,INPATIENT_REVENUE,OUTPATIENT_REVENUE,PATIENT_DISCOUNTS,NET_PATIENT_REVENUE,NET_MEDICARE_REVENUE,NET_MEDICAID_REVENUE,PCT_PATIENT_DISCOUNTS,TOT_SALARIES,TOTAL_CONTRACT_LABOR,LABOR_COMP_RATIO,NET_INCOME,NUMBER_EMPLOYEES,NUMBER_AFFILIATED_PHYSICIANS,AVERAGE_LENGTH_OF_STAY,BED_UTILIZATION,AVG_DAILY_CENSUS,TOTAL_DAYS,INPATIENT_PART_C_DAYS,BIRTHS,TOTAL_ER_VISITS,PCT_MEDICARE_ER_ADMITTED,OUTPATIENT_SURGERIES,INPATIENT_SURGERIES,TOT_SURGERIES,LATITUDE,LONGITUDE
10001,Phoenix VA Medical Center (Phoenix VA Health Care System),Hospital,VA Hospital,650 E. Indian School Rd,,Phoenix,AZ,85012,602.277.5551,AZ - Maricopa,www.phoenix.va.gov/,Governmental - Federal,Active,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.4947,-112.066
10002,Tucson VA Medical Center (Southern Arizona VA Healthcare System),Hospital,VA Hospital,3601 S 6th Ave,,Tucson,AZ,85723,520.792.1450,AZ - Pima,www.tucson.va.gov/,Governmental - Federal,Active,381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.1814,-110.968
10003,Sacramento VA Medical Center (VA Central California Healthcare System),Hospital,VA Hospital,2615 E. Clinton Avenue,,Fresno,CA,93703,559.225.6100,CA - Fresno,www.fresno.va.gov/,Governmental - Federal,Active,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.7721,-119.78
10004,VA Connecticut Healthcare System - West Haven Campus,Hospital,VA Hospital,950 Campbell Avenue,,West Haven,CT,6516,203.932.5711,CT - New Haven,www.connecticut.va.gov/,Governmental - Federal,Active,813,,,,,,,,,,,,,,,,,,,,,,,,,,16393.44,,,1235,,41.2844,-72.9575
10005,Wilmington VA Medical Center,Hospital,VA Hospital,1601 Kirkwood Highway,,Wilmington,DE,19805,302.994.2511,DE - New Castle,www.wilmington.va.gov/index.asp,Governmental - Federal,Active,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7388,-75.6054
10006,Washington DC VA Medical Center,Hospital,VA Hospital,50 Irving St. NW,,Washington,DC,20422,202.745.8000,DC - District Of Columbia,www.washingtondc.va.gov/,Governmental - Federal,Active,291,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9312,-77.0122
10007,Randall VA Medical Center (North Florida/south Georgia VA Health Care System),Hospital,VA Hospital,1601 SW Archer Road,,Gainesville,FL,32608,352.376.1611,FL - Alachua,www.northflorida.va.gov/,Governmental - Federal,Active,350,,,,,,,,,,,,,,,,,,,,,,,,,,6701.4,,,5250,,29.6326,-82.3613
10008,Boise VA Medical Center,Hospital,VA Hospital,500 Fort Street,,Boise,ID,83702,208.422.1000,ID - Ada,www.boise.va.gov/,Governmental - Federal,Active,188,,,,,,,,,,,,,,,,,,,,,,,,,,10404,,,1989,,43.6178,-116.194
10009,Brooks VA Medical Center,Hospital,VA Hospital,510 E. Stoner Ave.,,Shreveport,LA,71101,318.221.8411,LA - Caddo,www.shreveport.va.gov/,Governmental - Federal,Active,434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.4998,-93.7228
10010,Merit Health River Oaks (FKA River Oaks Hospital - Jackson),Hospital,Short Term Acute Care Hospital,1030 River Oaks Dr.,,Flowood,MS,39232,601.932.1030,MS - Rankin,www.riveroakshosp.com/default.aspx,Proprietary - Corporation,Active,158,306038.0657,-1.80E-03,22090.62394,-1.30E-03,30-Sep,709114079.5,275153978,433960101.4,585961467,123152612.5,18068272.15,3935551.941,0.8263,31458448.41,709160.3235,0.262090313,3441444.691,416,93,3.389975275,0.298001576,47.08424908,20183.26471,638.338,1890,15910.65162,0.194783198,5165,3301,8466,32.3261,-90.1066
